,ROUTE_SHORT_NAME,DIR,LOG_RIDERS_09,EDD_EMP_LOG_09,STOP_ID,AVG_RIDE_09,FREQ_S_LOG_09,EOL_SOL_09,HOUSING_09_DEN_LOG,MUNI_BUS_AVG_09,AVG_BART_LOG_09,CLOSE_STOP_09,J_09,LOG_RIDERS_16,EDD_EMP_LOG_16,AVG_RIDE_16,FREQ_S_LOG_16,EOL_SOL_16,HOUSING_16_DEN_LOG,MUNI_BUS_AVG_16,AVG_BART_LOG_16,CLOSE_STOP_16,J_16
97,KT,1,5.8902620415988185,7.2991214627108,7346,360.5,1.8012321631671209,0.0,7.151352400526473,359.22984160559054,0.0,1,0,6.206475115192004,7.772331575169614,494.95,1.916347062926255,0.0,7.239377884575437,439.1190153858852,0.0,1,0
98,KT,0,6.042632833682381,7.398174092970465,7347,420.0,1.7344613831755773,0.0,6.4857886370807325,1034.6138461989513,0.0,1,0,6.1848702801582345,7.448333860897477,484.35,1.4937129848518496,0.0,6.4905157552178405,970.0670007819999,0.0,1,0
99,KT,0,5.59285091394892,7.731930721948487,7352,267.5,1.7344613831755773,0.0,4.509096843229664,926.6370419641668,0.0,1,0,5.650908985049133,8.187021067343505,283.55000000000007,1.4946349460593482,0.0,4.589067912037152,1016.6548615231843,0.0,1,0
100,KT,0,4.990432586778736,7.813187267521416,7353,146.0,1.7344613831755773,0.0,3.8025653124741914,6.898350868028944,0.0,1,0,5.315174483614459,8.097426298597213,202.40000000000003,1.4947912359252482,0.0,3.8025653124741914,10.690142533904671,0.0,0,0
101,KT,0,5.442417710521793,8.153925132007862,7354,230.0,1.719558778385411,1.0,5.809862420374241,107.98448449195163,0.0,1,0,5.7612649100695625,8.499640032168648,316.75,1.4879301413759598,0.0,6.067761211118227,156.24012899394805,0.0,0,0
102,KT,0,5.975081067857458,7.87359778968554,7355,392.5,1.718739740664589,0.0,6.464709847166919,1163.3466705666174,0.0,1,0,6.204052584482676,8.23217423638394,493.75,1.4879301413759598,0.0,6.975837350129738,944.4775696099373,0.0,0,0
103,KT,0,4.795790545596741,7.279318835414621,7356,120.0,1.7189938216596454,0.0,6.060449917109957,124.61523512983774,0.0,1,0,5.577463107977531,7.675546002537848,263.4,1.487533110229647,0.0,6.593574293561964,255.6851989474311,0.0,1,0
104,KT,0,5.159055299214528,7.346010209913294,7357,173.0,1.7192931916124061,0.0,6.043137329002054,0.31907430433658085,0.0,1,0,6.098186635404941,8.18004072349016,444.0500000000001,1.4870617764033691,0.0,7.201502851759771,395.39153176868797,0.0,0,0
105,KT,0,3.8607297110405954,8.444837529224097,7358,46.5,1.719547474756192,0.0,5.522798858882459,0.7322621303131134,0.0,1,0,5.367843429196646,8.637816633739979,213.4,1.486655295218004,0.0,7.521941668213889,185.67625553918626,0.0,1,0
106,KT,1,4.127134385045092,8.339978571990429,7359,61.0,1.6348468158102758,0.0,5.506838021704361,0.8885187487810252,0.0,1,0,5.647741083772575,8.884056061742461,282.65,1.8747703474954849,0.0,7.533594318340629,206.05851848143024,0.0,1,0
107,KT,1,5.1929568508902095,7.427144133408617,7360,179.0,1.6348468158102758,0.0,6.037548277654102,0.2064667025015254,0.0,1,0,6.210800860079237,8.138564737261632,497.1,1.8749387528287649,0.0,7.03827419272416,394.56493620904456,0.0,1,0
108,KT,1,4.770684624465665,7.293017679772782,7361,117.0,1.6348468158102758,0.0,6.051273911782575,124.61523512983774,0.0,1,0,5.5795411289387715,7.690286020676768,263.95,1.8751001775351857,0.0,6.621246378489912,255.6851989474311,0.0,1,0
109,KT,1,5.893024474294728,7.8655717576847906,7362,361.5,1.6348468158102758,0.0,6.451211764514192,1163.3466705666174,0.0,1,0,6.216007119335898,8.23217423638394,499.7000000000001,1.6148593843247632,0.0,6.964503371680628,944.4775696099373,0.0,0,0
110,KT,1,5.2417470150596435,8.154212694914229,7363,188.0,1.6348468158102758,0.0,5.77830271438109,107.98448449195163,0.0,1,0,5.904134937669594,8.490438454107418,365.55,1.6148221611353215,0.0,6.035267282132124,156.24012899394805,0.0,1,0
111,KT,1,5.003946305945459,7.816819965764552,7364,148.0,1.8012321631671209,1.0,3.8650628600948713,6.898350868028944,0.0,1,0,5.361057396369223,8.083637203141548,211.95,1.9163470629262551,0.0,3.8650628600948713,10.690142533904671,0.0,1,0
112,KT,1,5.6507332535663855,7.732369222284388,7365,283.5,1.8012321631671209,0.0,4.493006863588205,926.6370419641668,0.0,1,0,5.83845904464808,8.186742787113518,342.25000000000006,1.9163470629262551,0.0,4.574140650816914,1016.6548615231843,0.0,1,0
113,KT,1,5.337538079701318,7.378383712996714,7390,207.0,1.8012321631671209,0.0,6.5436579891337905,1051.0038401574525,0.0,1,0,5.406050066350919,7.646831391430483,221.75,1.916347062926255,0.0,6.5629033360656726,1138.3218420722321,0.0,1,0
114,KT,1,5.603962139373991,7.238496840894365,7391,270.5,1.8012321631671209,0.0,7.119485288839001,904.8171750563968,0.0,1,0,5.780126041243535,7.415175109613295,322.7999999999999,1.9163470629262551,0.0,7.1448568199804035,1045.7108360565273,0.0,1,0
115,KT,1,6.285998094508865,6.949856455000773,7392,536.0,1.8012321631671209,0.0,7.364907480769267,2777.6875724640804,0.0,1,0,6.427054640188067,7.219642040130735,617.35,1.916347062926255,0.0,7.3802856785153095,2921.831599987733,0.0,1,0
116,KT,1,5.717027701406223,7.19743535409659,7393,303.0,1.8012321631671209,0.0,7.288074332955112,2781.7905656613484,0.0,1,0,5.729775054930455,7.535296702444088,306.9000000000001,1.916347062926255,0.0,7.298494351473219,2886.2713157843145,0.0,1,0
117,KT,1,5.135798437050261,6.202535517187923,7394,169.0,1.8012321631671209,0.0,6.756832083812709,410.317001142767,0.0,1,0,5.4443638674772785,6.447305862541213,230.45,1.9163470629262551,0.0,6.87172695414509,610.5339726793562,0.0,1,0
118,KT,1,5.8888779583328805,6.680854678790215,7395,360.0,1.8012321631671209,0.3333333333333333,6.970341003886603,1857.900044288516,0.0,1,0,5.749074463847908,6.073044534100405,312.9000000000001,1.9163470629262551,0.0,6.999549119472195,2939.690331500685,0.0,1,0
119,KT,1,6.776506992372183,9.266342562091467,7397,876.0,1.6348468158102758,0.0,7.851998373531207,5276.161031452175,0.0,1,0,7.0519421992946345,9.620593996816144,1154.1,1.613619727658525,0.0,8.100884278290646,3065.967167380169,0.0,1,0
120,KT,0,5.86220971125072,6.682108597449808,7399,350.5,1.7344613831755773,0.0,6.968285827446699,1857.900044288516,0.0,1,0,5.9647354873659575,6.075346031088683,388.45,1.4934952874457372,0.0,6.996241598172751,2939.690331500685,0.0,1,0
121,KT,0,5.1149953094204985,6.202535517187923,7400,165.5,1.7454366775219945,0.0,6.753648930630457,410.317001142767,0.0,0,0,5.499828617735132,6.447305862541213,243.65000000000003,1.493640410733866,0.0,6.86916563200222,610.5339726793562,0.0,0,0
122,KT,0,5.662960480135946,7.19743535409659,7401,287.0,1.7344613831755773,0.0,7.287677179713933,2781.7905656613484,0.0,1,0,6.023205432892045,7.53689712956617,411.9,1.4943099956702082,0.0,7.298110921226566,2886.2713157843145,0.0,1,0
123,KT,0,6.318066806790424,6.9469759921354175,7402,553.5,1.7344613831755773,0.0,7.365357216608688,2777.6875724640804,0.0,1,0,6.390408438225881,7.218909707619059,595.1,1.4944278305315242,0.0,7.380736946790641,2921.831599987733,0.0,1,0
124,KT,0,5.605802066295998,7.237059026124737,7403,271.0,1.7344613831755773,0.0,7.1198316774546635,888.806974575846,0.0,1,0,5.877175400705855,7.415776975415393,355.8,1.494511395315114,0.0,7.1451572162352575,1033.5742251325173,0.0,1,0
125,KT,0,5.3981627015177525,7.378383712996714,7404,220.0,1.7344613831755773,0.0,6.544205403573894,1051.0038401574525,0.0,1,0,5.390212631252292,7.649216319820633,218.25,1.4945659000262357,0.0,6.563451911571334,1138.3218420722321,0.0,1,0
126,L,0,5.1179938124167546,7.0561752841004095,3266,166.0,1.9766642812351631,0.0,7.193557160491784,1059.5418829706623,0.0,1,0,5.3831179682405015,7.1853870155804165,216.7,1.9257941298534051,0.0,7.1936095084691125,1168.639680828107,0.0,1,0
127,L,1,5.190175207928333,7.057897937411856,3267,178.5,1.5314098843812505,0.0,7.1965700384544515,1077.0011321313407,0.0,1,0,5.120983351265121,7.1846291527173145,166.5,1.4970438466361469,0.0,7.1966637321766225,1184.3631188004256,0.0,1,0
128,L,0,4.212127597878484,7.412764017426562,3268,66.5,1.9766822183474844,0.0,7.152491997101276,225.6969796599707,0.0,1,0,4.835885002798619,7.6652847184713515,124.95,1.92588988595486,0.0,7.152573950552923,125.09736390867815,0.0,1,0
129,L,1,3.4339872044851463,7.405495663199472,3269,30.0,1.5315134680270182,0.0,7.155132469458951,111.4497108845916,0.0,1,0,4.0578534536396855,7.645875825184812,56.85,1.496992357590303,0.0,7.155291784212553,62.62127365195374,0.0,1,0
130,L,1,5.643678550586497,5.717027701406223,3599,281.5,1.5310548668073685,0.0,7.272343652532129,300.73180663721723,0.0,1,0,5.5361524666052375,6.410174881966167,252.70000000000005,1.49558538364308,0.0,7.272295818816758,256.2196251286308,0.0,1,0
131,L,0,4.736198448394496,6.115892125483033,3600,113.0,1.9766642812351631,0.0,7.284140341841699,306.631077244288,0.0,1,0,4.320815903628985,6.398594934535207,74.24999999999997,1.9242841787282061,0.0,7.2848149969242595,264.109429502171,0.0,1,0
132,L,1,4.262679877041316,6.118097198041347,3601,70.0,1.5310548668073685,0.0,7.310941947761568,286.5597829986372,0.0,1,0,4.5549289695513435,6.398594934535207,94.1,1.4954276153026054,0.0,7.3116076348975225,247.127897848458,0.0,1,0
133,L,0,4.5591262474866845,6.030685260261262,3602,94.5,1.9766642812351631,0.0,7.135706429998255,514.5558455521068,0.0,1,0,4.876722876509988,6.285998094508865,130.20000000000002,1.924188628665413,0.0,7.136437067142903,393.3707656287149,0.0,1,0
134,L,1,4.629862798578462,6.023447592961032,3603,101.5,1.5310548668073685,0.0,7.128477969900361,445.4092370756445,0.0,1,0,4.638121286127777,6.2878585601617845,102.35,1.4952662185747836,0.0,7.129144719201933,338.29229034415454,0.0,1,0
135,L,1,7.349552316337693,10.425757440186377,5417,1554.5,1.9405158928795785,0.0,8.376506360548477,25941.25749781112,8.460305329209191,1,0,7.340803128176029,10.806713308080845,1540.9499999999996,1.939220959354618,0.0,8.418080085440991,25262.162192479365,8.755264763314685,1,0
136,L,1,6.920177798980694,10.560152267518658,5419,1011.5,1.9402482413869415,0.0,7.937188096794871,12085.86851230609,0.0,0,0,7.153129879137667,10.39314061106932,1277.1,1.939220959354618,0.0,8.392280898257,11024.918334354255,0.0,0,0
137,L,1,6.493753839851687,7.930925372483388,5726,660.0,1.9403621624224725,0.0,8.24575120385275,3325.3659944123783,0.0,1,0,6.580847160029519,8.296297112642508,720.1499999999997,1.939220959354618,0.0,8.310184720323205,2676.7799253199373,0.0,1,0
138,L,1,6.984253249954863,10.698943095669854,5727,1078.5,1.9403422701990325,0.0,8.288463328533853,12165.038695290368,8.848222068371385,1,0,6.992418066860846,10.598333289731654,1087.35,1.939220959354618,0.0,8.66136505209226,10510.805778345368,8.752107198329362,1,0
139,L,1,6.902742737158593,7.840312983320164,5728,994.0,1.9404290765071048,0.0,7.961190322854363,3379.4157198342605,0.0,0,0,6.900529233890397,8.13739583005665,991.8,1.939220959354618,0.0,7.972030964346508,3318.1802128202885,0.0,0,0
140,L,1,6.29156913955832,5.638354669333745,5730,539.0,1.9404290765071048,0.0,6.012085485008972,2613.413971876782,0.0,0,0,6.438391445023742,5.726847747587197,624.3999999999999,1.939220959354618,0.0,6.015610277341198,2098.8166041697273,0.0,0,0
141,L,1,7.3132203870903005,11.38685190771486,5731,1499.0,1.9406497545101349,0.0,7.360737023147412,24813.33173644273,9.35686202463895,1,0,6.873577827180552,11.868268522341692,965.4,1.939220959354618,0.0,7.348584615805348,26407.744294140542,9.091950902475961,1,0
142,L,0,5.757323241584232,6.8679744089702925,6614,315.5,1.9766642812351631,0.0,7.267237327820762,1162.2162876555506,0.0,1,0,5.74748032992192,7.069874128458572,312.4,1.9256915476759864,0.0,7.268708473632323,1266.3592275173678,0.0,1,0
143,L,1,5.629418059367339,6.86484777797086,6615,277.5,1.531291523455815,0.0,7.272052457802272,1147.250778543589,0.0,1,0,5.8200829303523625,7.064759027791803,336.0000000000001,1.4971026963785707,0.0,7.273549805127878,1257.2036519713527,0.0,1,0
144,L,0,6.134482053942907,7.020190708311925,6616,460.5,1.9766642812351631,0.0,7.292480183033968,1054.5227842317638,0.0,1,0,6.38130827431319,7.1569563646156364,589.7,1.9256026545379792,0.0,7.29437290983985,1236.0819244094546,0.0,1,0
145,L,1,6.1516682986483175,7.021083964289139,6617,468.5,1.5311805798294271,0.0,7.2749680418760905,1012.6138113090063,0.0,1,0,6.294158377180199,7.181591944611865,540.4,1.497154194382616,0.0,7.276893782951512,1201.9341474239368,0.0,1,0
146,L,0,5.913503005638269,7.282073658093465,6618,369.0,1.9766642812351631,0.0,7.20814862145357,956.00092283325,0.0,1,0,6.18239477605754,7.327123292259293,483.15,1.92546591655762,0.0,7.209591526764816,1162.8082927842238,0.0,1,0
147,L,1,6.121395716700013,7.226936018493289,6619,454.5,1.5310548668073685,0.0,7.212132621321389,953.0355393351216,0.0,1,0,6.355847210114916,7.3118861640771655,574.8499999999998,1.4972204122462829,0.0,7.213606699320043,1161.7996456108656,0.0,1,0
148,L,0,5.402677381872278,7.259819610363187,6620,221.0,1.9766642812351631,0.0,7.210620989429551,8.122662979721804,0.0,1,0,5.615133393724881,7.409136443920128,273.55000000000007,1.9253838858063128,0.0,7.211082235852111,5.2351840081796714,0.0,1,0
149,L,1,5.4638318050256105,7.259819610363187,6621,235.0,1.5310548668073685,0.0,7.219761093585889,10.658745042176417,0.0,1,0,5.672119794147361,7.382746449738913,289.6500000000001,1.4970410881884406,0.0,7.2196845238234655,6.305124489363139,0.0,1,0
150,L,0,5.424950017481403,7.328437352895162,6622,226.0,1.9766642812351631,0.0,7.2536363169739415,69.81063890660633,0.0,1,0,5.822897955546362,7.280697195384741,336.95,1.9252745255106345,0.0,7.252928469850048,65.36822245406997,0.0,1,0
151,L,1,5.320567975482857,7.313886831633463,6623,203.5,1.5310548668073685,0.0,7.268389712925897,70.52175001771745,0.0,1,0,5.508578292031233,7.335633981927201,245.8,1.496902261816858,0.0,7.267692235908437,65.70654000331189,0.0,1,0
152,L,0,5.220355825078324,7.115582126184454,6624,184.0,1.9766642812351631,0.0,7.348847337491039,102.07821016257758,0.0,1,0,5.551796117658318,7.3118861640771655,256.7,1.925178848410848,0.0,7.3482289065303625,104.25338662019257,0.0,1,0
153,L,1,5.325446033936291,7.10085190894405,6625,204.5,1.5310548668073685,0.0,7.349182623322736,109.01731349933176,0.0,1,0,5.486455308663431,7.329093736246593,240.4,1.4967708184945356,0.0,7.348681070335415,107.47357902478971,0.0,1,0
154,L,0,5.187385805840755,7.044032897274685,6626,178.0,1.9766642812351631,0.0,7.330370321870626,109.11290690705414,0.0,1,0,5.631390977234442,7.279318835414621,278.05,1.9250900163841556,0.0,7.330360296975467,112.68013027491942,0.0,1,0
155,L,1,5.318119993844216,7.029087564149663,6627,203.0,1.5310548668073685,0.0,7.329659970362017,100.16714765210331,0.0,1,0,5.426930434016013,7.2875606403097235,226.45,1.4966366457208058,0.0,7.3296038496588025,103.25065292333595,0.0,1,0
156,L,0,5.531411248715415,6.947937068614969,6628,251.5,1.9766642812351631,0.0,7.325880115903792,101.38627073308912,0.0,1,0,5.8264424873920895,7.180831199044556,338.14999999999986,1.9250011949424968,0.0,7.325880115903794,104.43507717601037,0.0,1,0
157,L,1,5.675040005790549,6.920671504248682,6629,290.5,1.5310548668073685,0.0,7.315085501145227,103.69174081855921,0.0,1,0,5.865192456165049,7.1592919047975645,351.5499999999999,1.4964979078459582,0.0,7.315085501145227,104.43507717601037,0.0,1,0
158,L,0,5.214935757608987,6.322565239927285,6630,183.0,1.9766642812351631,0.0,7.196509149886974,492.82431180061525,0.0,1,0,5.353042266237283,6.496774990185863,210.25,1.9248509058410816,0.0,7.196509149886976,441.87301699956487,0.0,1,0
159,L,1,5.420534999272285,6.304448802421981,6631,225.0,1.5310548668073685,0.0,7.199754955907253,492.82431180061525,0.0,1,0,5.553347106724568,6.498282149476434,257.1,1.4962958275092957,0.0,7.199754955907254,441.87301699956487,0.0,1,0
160,L,0,5.7071102647488745,6.278521424165843,6632,300.0,1.9766642812351631,0.0,7.3499894897958065,490.23139159808716,0.0,1,0,5.927725706140975,6.674561391814426,374.29999999999984,1.9246323575931603,0.0,7.349699746724265,438.24706928558334,0.0,1,0
161,L,1,5.928258471204189,6.2441669006637355,6633,374.5,1.5310548668073685,0.0,7.371648362904345,395.74457070775713,0.0,1,0,5.911473921411488,6.668228248417402,368.25,1.4959818122710633,0.0,7.371380879831872,310.21592094411517,0.0,1,0
162,L,0,5.260096153727839,6.329720905522696,6634,191.5,1.9766642812351631,0.0,7.461487738777193,193.0080529433348,0.0,1,0,5.347345597615392,6.84587987526405,209.05000000000007,1.9245367628825936,0.0,7.46149473620512,159.0351401557794,0.0,1,0
163,L,1,5.27556037942542,6.336825731146441,6635,194.5,1.5310548668073685,0.0,7.463784204695027,193.0080529433348,0.0,1,0,5.238567362142264,6.8501261661454995,187.40000000000006,1.495845970839122,0.0,7.4637184337264095,159.0351401557794,0.0,1,0
164,L,0,5.053056009980208,6.118097198041347,6636,155.5,1.9766642812351631,0.0,7.464633128018839,275.1689349301297,0.0,1,0,5.274792821501079,6.661854740545311,194.35,1.924454834317272,0.0,7.46428085561093,231.0686363630429,0.0,1,0
165,L,1,5.0998664278242,6.104793232414986,6637,163.0,1.5310548668073685,0.0,7.458863628597218,273.9271149200745,0.0,1,0,5.245970886175828,6.654152520183219,188.8,1.4957138287315732,0.0,7.458509329059032,229.76063346104462,0.0,1,0
166,L,0,5.6646950859481535,5.598421958998375,6638,287.5,1.9766642812351631,0.0,7.277450359845942,302.8127602002663,0.0,1,0,5.5264484593732845,6.4085287910594975,250.25,1.9243729147574957,0.0,7.277374006163906,251.71062585245852,0.0,1,0
167,L,0,5.8156219564117375,6.522092798170153,6640,334.5,1.9766642812351631,0.0,7.229378690981128,532.3308092075367,0.0,1,0,5.757797062962441,6.761572768804054,315.6500000000001,1.9247826026294383,0.0,7.229423706871557,646.7316634307892,0.0,1,0
168,L,1,5.6577385361547945,6.516193076042964,6641,285.5,1.5310548668073685,0.0,7.231560954511282,571.1837434025311,0.0,1,0,6.014448383498357,6.787844982309578,408.3000000000001,1.4962095037271508,0.0,7.23095065762337,521.3446371626062,0.0,1,0
169,L,0,3.4499875458315867,7.268223021159565,6736,30.5,1.9766822183474844,0.0,6.935816436469122,1362.392640211449,0.0,1,0,4.091005660956586,7.542213463193402,58.8,1.9260267017222008,0.0,6.935816439610858,1109.698083770699,0.0,1,0
170,L,1,4.110873864173311,7.270312886079025,6737,60.0,1.5316318697266087,0.0,6.975113956736866,1385.302007703196,0.0,1,0,3.7506798550193836,7.5714736488512715,41.55,1.4969335180843082,0.0,6.975113956736868,1132.013651472488,0.0,1,0
171,L,0,7.141640926828249,7.0166096838942185,6739,1262.5,1.927313681123877,0.0,6.768167125907213,1290.3050035075182,0.0,0,0,7.134133592806276,7.253470382684528,1253.0500000000004,1.932343287407608,0.0,6.766582442793857,1068.5693737532097,0.0,0,0
172,L,1,6.952728644624869,7.007600613951852,6740,1045.0,1.9404290765071048,0.0,6.764676024711174,1290.3050035075182,0.0,1,0,6.894720696711677,7.253470382684528,986.05,1.939220959354618,0.0,6.765549746625147,1068.5693737532097,0.0,1,0
173,L,0,6.898714534329987,7.8461988154974245,6991,990.0,1.926605362073253,0.0,7.957215069250472,3379.4157198342605,0.0,1,0,7.1486208632839645,8.137688184977605,1271.35,1.9316421607628171,0.0,7.969151499412372,3318.1802128202885,0.0,1,0
174,L,0,6.2519038831658875,5.6594822157596205,6993,518.0,1.9271176058435602,0.0,6.075305123110213,2613.413971876782,0.0,0,0,6.765384937690411,5.71373280550937,866.3,1.9321539183471348,0.0,6.078269805956088,2098.8166041697273,0.0,0,0
175,L,0,6.948897222313312,11.397985882865408,6994,1041.0,1.926030347806291,0.3333333333333333,7.364187403398683,24771.346235541547,9.35686202463895,1,0,6.776621010957337,11.878332175832407,876.1,1.9316421607628171,0.0,7.352077108713522,26248.488437054628,9.091950902475961,1,0
176,L,0,7.3990922261642655,10.425787098375746,6995,1633.5,1.92598613430076,0.0,8.393864900968879,27001.717598346342,8.460305329209191,1,0,7.256614761611179,10.810354015162444,1416.45,1.9316421607628176,0.0,8.433190102568105,25154.69091856576,8.755264763314685,1,0
177,L,0,6.8216525799287275,10.55448373083613,6996,916.5,1.92589771515434,0.0,7.943951808063371,12664.92117508297,0.0,1,0,7.251664081391196,10.408103938824377,1409.4500000000005,1.9316421607628171,0.0,8.394494133487155,11149.093840439129,0.0,1,0
178,L,0,6.769067759208244,10.698107702026707,6997,869.5,1.9259295448391394,0.0,8.294650794100933,12011.157712516133,8.848222068371385,1,0,6.9557355915007015,10.556749799397158,1048.1499999999996,1.9316421607628176,0.0,8.667632843601238,10321.408035032318,8.752107198329362,1,0
179,L,0,6.625392368007955,7.944846711001996,6998,753.0,1.9263505318121104,0.0,8.243513012272313,3325.3659944123783,0.0,0,0,6.9126930680117615,8.31238059678675,1003.95,1.9316421607628176,0.0,8.30832846351187,2676.7799253199373,0.0,0,0
180,L,0,7.270312886079025,11.368096205402036,7217,1436.0,1.9189300952907675,1.0,6.351242310045481,17860.547076489016,9.09829086816756,1,0,6.84896023247163,11.690343351735835,941.9,1.9316421607628171,1.0,6.840724876727838,14545.408060815298,9.033662857567313,1,0
181,M,0,7.555643553136468,8.520188700396035,3358,1910.5,1.8665232342900784,0.0,6.929328699011783,3067.7253653918483,0.0,1,0,7.243477234212646,8.517593111437565,1397.95,1.8296947741189424,0.0,6.935918097628975,2580.594255628189,0.0,1,0
182,M,1,4.90527477843843,6.386879319362644,3361,134.0,1.4298379007258946,0.0,7.4392103720023774,488.7592682742282,0.0,1,0,5.74652262833236,6.354370040797352,312.1,1.8310808265742389,0.0,7.457114422067531,543.8355541748654,0.0,1,0
183,M,0,4.941642422609304,6.115892125483033,3376,139.0,1.8663098205663309,0.0,7.394979217138093,405.4876140162403,0.0,1,0,6.170029055024225,6.2878585601617845,477.2,1.8296947741189424,0.0,7.412798962667483,455.9329752107568,0.0,1,0
184,M,1,4.840242308167575,6.480044561926652,3385,125.5,1.4297177508405658,0.0,7.255285397637476,247.6838946805305,0.0,1,0,5.1904537206720915,6.511745329644728,178.55000000000004,1.8310185528146536,0.0,7.262351573971762,386.4452340703201,0.0,1,0
185,M,0,6.520621127558696,7.9529667909231305,3403,678.0,1.8665232342900784,0.0,6.0630604930825855,2215.3446103325323,0.0,1,0,6.7797514383977715,7.886081401775745,878.8500000000001,1.8296947741189424,0.0,6.0630604930825855,2636.8286212900493,0.0,1,0
186,M,1,5.342334251964812,5.703782474656202,3715,208.0,1.4293762766833022,0.0,7.023485232967736,268.7256542752576,0.0,1,0,5.600087238317436,5.978885764901122,269.45000000000005,1.8308421395881682,0.0,7.038595402341918,288.08343873533767,0.0,1,0
187,M,0,5.552959584921617,5.680172609017067,3716,257.0,1.8658689625970508,0.0,7.032667325869047,268.7256542752576,0.0,1,0,5.644386264699545,5.955837369464831,281.7000000000001,1.8296947741189424,0.0,7.0472255774603525,288.08343873533767,0.0,1,0
188,M,1,4.727387818712341,5.793013608384143,3717,112.0,1.4294704574732953,0.0,7.169134859972847,62.93111030684642,0.0,1,0,5.0463241365047615,6.068425588244112,154.45,1.8308940213676312,0.0,7.1789804114110645,55.8618307787193,0.0,1,0
189,M,1,5.733341276897747,6.39024066706535,3718,308.0,1.429293880348404,0.0,6.980648482364955,334.4262297823364,0.0,1,0,5.739792912179233,6.214608098422191,310.0,1.8308006368422969,0.0,6.994732967461822,364.91908264178016,0.0,1,0
190,M,0,5.652489180268652,6.39024066706535,3719,284.0,1.8658120970334,0.0,6.97049415486177,334.4262297823364,0.0,1,0,5.818746726456723,6.2441669006637355,335.55,1.8296947741189424,0.0,6.9853423071299945,364.91908264178016,0.0,1,0
191,M,1,7.3118861640771655,10.425757440186377,5417,1497.0,1.8407878623116818,0.0,8.376506360548477,25941.25749781112,8.460305329209191,1,0,7.265884165434008,10.806713308080845,1429.65,1.8350356165865296,0.0,8.418080085440991,25262.162192479365,8.755264763314685,1,0
192,M,1,6.882437470997847,10.560152267518658,5419,974.0,1.8405315760623209,0.0,7.937188096794871,12085.86851230609,0.0,0,0,7.034387929915503,10.39314061106932,1134.0,1.8350356165865296,0.0,8.392280898257,11024.918334354255,0.0,0,0
193,M,1,6.677083461247137,7.930925372483388,5726,793.0,1.8406406598265619,0.0,8.24575120385275,3325.3659944123783,0.0,1,0,6.57507584059962,8.296297112642508,716.0,1.8350356165865296,0.0,8.310184720323205,2676.7799253199373,0.0,1,0
194,M,1,6.848535919322167,10.698943095669854,5727,941.5,1.8406216122740016,0.0,8.288463328533853,12165.038695290368,8.848222068371385,1,0,6.921608873270673,10.598333289731654,1012.95,1.8350356165865296,0.0,8.66136505209226,10510.805778345368,8.752107198329362,1,0
195,M,1,7.007148022860172,7.840312983320164,5728,1103.5,1.8407047325344679,0.0,7.961190322854363,3379.4157198342605,0.0,0,0,6.9976873864827445,8.13739583005665,1093.1,1.8350356165865296,0.0,7.972030964346508,3318.1802128202885,0.0,0,0
