,STOP_ID,ROUTE_SHORT_NAME,DIR,STOP SEQ,Number of Trips in Time Period, Average Boardings , Average Alightings ,Stop Latitude,Stop Longitude,HEADWAY_S,EOL,SOL,STOP_LAT,STOP_LON,DWELL_S,RUNTIME_S,TOTTIME_S,SERVMILES_S,RUNSPEED_S,TOTSPEED_S
308,3092,E,0,,,,,,,17.0287573964497,0.0,0.0,37.807407,-122.414125,0.0,45.379999999999974,45.379999999999974,4.575999999999999,6.05,6.05
309,3095,E,0,,,,,,,16.944852941176467,0.0,0.0,37.807841,-122.41081000000001,0.0,63.620000000000026,63.620000000000026,6.584,6.21,6.21
310,3095,E,1,,,,,,,16.0,1.0,0.0,37.807841,-122.41081000000001,0.0,12.0,12.0,0.13500000000000004,0.68,0.68
311,4501,E,1,,,,,,,16.956881720430115,0.0,0.0,37.806945,-122.406278,0.0,63.29999999999999,63.29999999999999,6.448000000000003,6.11,6.11
312,4502,E,0,,,,,,,17.067100591715985,0.0,0.0,37.806629,-122.40603,0.0,66.84,66.84,7.149999999999999,6.419999999999999,6.419999999999999
313,4503,E,1,,,,,,,16.937161290322578,0.0,0.0,37.799552,-122.397869,0.0,63.96,63.96,6.448000000000003,6.05,6.05
314,4504,E,0,,,,,,,17.110266272189353,0.0,0.0,37.798901,-122.39743400000002,0.0,32.8,32.8,3.718,6.8,6.8
315,4506,E,0,,,,,,,17.130177514792894,0.0,0.0,37.784359,-122.38813799999998,0.0,82.41999999999999,82.41999999999999,9.411999999999999,6.849999999999999,6.849999999999999
316,4513,E,1,,,,,,,16.847426470588236,0.0,0.0,37.795105,-122.393861,0.0,170.0,170.0,16.116,5.69,5.69
317,4515,E,1,,,,,,,16.94595698924731,0.0,0.0,37.803263,-122.401113,0.0,51.07,51.07,5.208,6.12,6.12
318,4516,E,0,,,,,,,17.08991124260355,0.0,0.0,37.80296,-122.401029,0.0,43.73,43.73,4.914000000000001,6.739999999999999,6.739999999999999
319,4517,E,1,,,,,,,16.941548387096773,0.0,0.0,37.801264,-122.399369,0.0,43.86000000000001,43.86000000000001,4.464,6.11,6.11
320,4518,E,0,,,,,,,17.101893491124258,0.0,0.0,37.800605,-122.39892000000002,0.0,45.65,45.65,5.174000000000002,6.8,6.8
321,4529,E,0,,,,,,,17.07831360946745,0.0,0.0,37.805022,-122.40331399999998,0.0,42.849999999999994,42.849999999999994,4.810000000000002,6.739999999999999,6.739999999999999
322,4530,E,1,,,,,,,16.88051470588235,0.0,0.0,37.808351,-122.410287,0.0,111.10999999999997,111.10999999999997,11.286000000000001,6.09,6.09
323,4532,E,1,,,,,,,16.93129032258064,0.0,0.0,37.797085,-122.39567,0.0,51.69,51.69,5.239,6.080000000000001,6.080000000000001
324,4534,E,0,,,,,,,17.12266272189349,0.0,0.0,37.796355,-122.395181,0.0,49.370000000000005,49.370000000000005,5.589999999999999,6.79,6.79
325,5174,E,1,,,,,,,16.96172043010753,0.0,0.0,37.808594,-122.413357,0.0,56.52000000000002,56.52000000000002,5.239,5.56,5.56
326,5175,E,1,,,,,,,16.96068817204301,0.0,0.0,37.80832,-122.41551399999999,0.0,39.760000000000005,39.760000000000005,3.720000000000001,5.61,5.61
327,5184,E,0,,,,,,,17.007444168734494,0.0,1.0,37.807132,-122.417324,0.0,0.0,0.0,0.0,0.0,0.0
328,5184,E,1,,,,,,,16.963440860215055,1.0,0.0,37.807132,-122.417324,0.0,58.74,58.74,3.999,4.08,4.08
329,5234,E,0,,,,,,,17.130177514792894,0.0,0.0,37.77972,-122.38987200000001,0.0,77.48,77.48,8.684000000000003,6.72,6.72
330,5237,E,1,,,,,,,16.927569892473116,0.0,0.0,37.779621,-122.38982400000002,0.0,88.61000000000001,88.61000000000001,13.215999999999996,8.95,8.95
331,5239,E,0,,,,,,,17.040948275862068,1.0,0.0,37.776269,-122.39417299999998,0.0,101.10000000000002,101.10000000000002,11.613999999999997,6.89,6.89
332,5240,E,1,,,,,,,16.92042440318302,0.0,1.0,37.776269,-122.39408199999998,0.0,0.0,0.0,0.0,0.0,0.0
333,7145,E,1,,,,,,,16.92688172043011,0.0,0.0,37.784627,-122.38797700000002,0.0,76.58999999999997,76.58999999999997,11.160000000000002,8.74,8.74
334,7281,E,1,,,,,,,16.950709677419354,0.0,0.0,37.805146,-122.403233,0.0,53.14000000000001,53.14000000000001,5.393999999999999,6.09,6.09
335,7283,E,0,,,,,,,16.946691176470587,0.0,0.0,37.794828,-122.39377,0.0,119.76999999999998,119.76999999999998,13.758000000000004,6.89,6.89
336,7366,E,0,,,,,,,16.5,0.0,0.0,37.776153,-122.39394399999999,0.0,45.0,45.0,4.859999999999999,6.48,6.48
337,7440,E,0,,,,,,,16.5,1.0,0.0,37.752871,-122.38688,0.0,50.0,50.0,8.254999999999999,9.91,9.91
338,7440,E,1,,,,,,,17.7,0.0,1.0,37.752871,-122.38688,0.0,0.0,0.0,0.0,0.0,0.0
339,7794,E,0,,,,,,,16.946691176470587,0.0,0.0,37.789597,-122.388626,0.0,136.0,136.0,15.572000000000005,6.87,6.87
340,7795,E,1,,,,,,,16.847426470588236,0.0,0.0,37.789677,-122.388535,0.0,127.78000000000002,127.78000000000002,18.469999999999995,8.67,8.67
341,3092,F,0,,,,,,,7.723349109758845,0.0,0.0,37.807407,-122.414125,0.0,253.5,253.5,26.928,6.37,6.37
342,3095,F,0,,,,,,,7.726617083615053,0.0,0.0,37.807841,-122.41081000000001,0.0,253.5,253.5,28.152,6.66,6.66
343,3311,F,0,,,,,,,7.313537675606642,1.0,0.0,37.762576,-122.434979,0.0,445.50999999999993,445.50999999999993,30.797999999999988,4.15,4.15
344,3311,F,1,,,,,,,9.54676971858898,0.0,1.0,37.762576,-122.434979,0.0,0.0,0.0,0.0,0.0,0.0
345,4501,F,1,,,,,,,7.796486928104575,0.0,0.0,37.806945,-122.406278,0.0,247.59000000000003,247.59000000000003,31.82400000000001,7.71,7.71
346,4502,F,0,,,,,,,7.72242956952896,0.0,0.0,37.806629,-122.40603,0.0,349.28,349.28,42.075,7.23,7.23
347,4503,F,1,,,,,,,7.794117647058823,0.0,0.0,37.799552,-122.397869,0.0,251.20000000000005,251.20000000000005,31.82400000000001,7.599999999999999,7.599999999999999
348,4504,F,0,,,,,,,7.712152355194951,0.0,0.0,37.798901,-122.39743400000002,0.0,170.14000000000001,170.14000000000001,21.87899999999998,7.72,7.72
349,4513,F,1,,,,,,,7.792843137254901,0.0,0.0,37.795105,-122.393861,0.0,127.51999999999998,127.51999999999998,13.005,6.12,6.12
350,4515,F,1,,,,,,,7.795179738562094,0.0,0.0,37.803263,-122.401113,0.0,200.98000000000002,200.98000000000002,25.70400000000002,7.669999999999999,7.669999999999999
351,4516,F,0,,,,,,,7.717151228307414,0.0,0.0,37.80296,-122.401029,0.0,228.55999999999986,228.55999999999986,28.917,7.59,7.59
352,4517,F,1,,,,,,,7.794607843137257,0.0,0.0,37.801264,-122.399369,0.0,172.14000000000001,172.14000000000001,22.032,7.68,7.68
353,4518,F,0,,,,,,,7.714180752760874,0.0,0.0,37.800605,-122.39892000000002,0.0,239.12999999999997,239.12999999999997,30.446999999999992,7.64,7.64
354,4529,F,0,,,,,,,7.719659679963942,0.0,0.0,37.805022,-122.40331399999998,0.0,223.42,223.42,28.30499999999999,7.599999999999999,7.599999999999999
355,4530,F,1,,,,,,,7.7973856209150325,0.0,0.0,37.808351,-122.410287,0.0,296.27000000000004,296.27000000000004,36.720000000000006,7.44,7.44
356,4532,F,1,,,,,,,7.793480392156863,0.0,0.0,37.797085,-122.39567,0.0,202.81000000000003,202.81000000000003,25.856999999999985,7.650000000000001,7.650000000000001
357,4534,F,0,,,,,,,7.709109758846066,0.0,0.0,37.796355,-122.395181,0.0,256.73999999999995,256.73999999999995,32.89499999999999,7.69,7.69
358,4726,F,0,,,,,,,7.340711548987412,0.0,1.0,37.794052,-122.39344899999999,0.0,106.80000000000003,106.80000000000003,8.568000000000005,4.81,4.81
359,4727,F,1,,,,,,,9.449316290130797,0.0,0.0,37.793918,-122.393438,0.0,518.5099999999998,518.5099999999998,32.364,3.75,3.75
360,5174,F,1,,,,,,,7.7973856209150325,0.0,0.0,37.808594,-122.413357,0.0,279.9200000000001,279.9200000000001,25.856999999999985,5.54,5.54
361,5175,F,1,,,,,,,7.7973856209150325,0.0,0.0,37.80832,-122.41551399999999,0.0,197.26999999999998,197.26999999999998,18.360000000000003,5.580000000000001,5.580000000000001
362,5184,F,0,,,,,,,7.720081135902635,0.0,1.0,37.807132,-122.417324,0.0,0.0,0.0,0.0,0.0,0.0
363,5184,F,1,,,,,,,7.7973856209150325,1.0,0.0,37.807132,-122.417324,0.0,271.96999999999997,271.96999999999997,19.736999999999995,4.35,4.35
364,5639,F,0,,,,,,,7.3365261813537685,0.0,0.0,37.789353,-122.40130600000002,0.0,239.24999999999991,239.24999999999991,29.928,7.510000000000001,7.510000000000001
365,5640,F,1,,,,,,,9.48623464130004,0.0,0.0,37.787525,-122.403519,0.0,299.04,299.04,31.146000000000004,6.25,6.25
366,5643,F,1,,,,,,,9.49464922711058,0.0,0.0,37.785705,-122.405847,0.0,300.64,300.64,30.797999999999988,6.150000000000001,6.150000000000001
367,5645,F,1,,,,,,,9.502538644470867,0.0,0.0,37.783886,-122.408141,0.0,298.74,298.74,30.276,6.080000000000001,6.080000000000001
368,5647,F,1,,,,,,,9.510432025366624,0.0,0.0,37.782102,-122.4104,0.0,291.36999999999995,291.36999999999995,29.58,6.09,6.09
369,5650,F,1,,,,,,,9.518034086405072,0.0,0.0,37.780363,-122.41261300000001,0.0,245.80000000000004,245.80000000000004,29.754,7.260000000000001,7.260000000000001
370,5651,F,1,,,,,,,9.521712247324611,0.0,0.0,37.778606,-122.414826,0.0,165.14,165.14,20.358000000000004,7.400000000000001,7.400000000000001
371,5652,F,1,,,,,,,9.524355925485532,0.0,0.0,37.77741,-122.41634,0.0,325.98,325.98,40.020000000000024,7.37,7.37
372,5655,F,0,,,,,,,7.334629629629628,0.0,0.0,37.784082,-122.407992,0.0,270.6200000000002,270.6200000000002,28.709999999999997,6.37,6.37
373,5656,F,0,,,,,,,7.330779054916985,0.0,0.0,37.780568,-122.412441,0.0,270.6200000000002,270.6200000000002,29.754,6.599999999999999,6.599999999999999
374,5657,F,0,,,,,,,7.3365261813537685,0.0,0.0,37.79111,-122.399069,0.0,443.58000000000015,443.58000000000015,39.49800000000002,5.34,5.34
375,5659,F,0,,,,,,,7.325031928480204,0.0,0.0,37.769786,-122.426149,0.0,159.92000000000007,159.92000000000007,19.836,7.44,7.44
376,5661,F,0,,,,,,,7.325031928480205,0.0,0.0,37.767661,-122.428824,0.0,279.84999999999997,279.84999999999997,36.018,7.72,7.72
377,5662,F,1,,,,,,,9.54676971858898,0.0,0.0,37.767411,-122.42903,0.0,206.40999999999994,206.40999999999994,28.884000000000004,8.4,8.4
378,5668,F,1,,,,,,,9.54309155766944,0.0,0.0,37.76888,-122.427103,0.0,239.14000000000001,239.14000000000001,25.403999999999993,6.37,6.37
379,5669,F,0,,,,,,,7.34256066411239,0.0,0.0,37.793473,-122.396178,0.0,404.4199999999999,404.4199999999999,26.969999999999988,4.0,4.0
380,5672,F,0,,,,,,,7.325031928480205,0.0,0.0,37.773269,-122.421768,0.0,280.78000000000003,280.78000000000003,33.234,7.099999999999999,7.099999999999999
381,5673,F,1,,,,,,,9.534240982956797,0.0,0.0,37.772875,-122.421991,0.0,342.71999999999986,342.71999999999986,39.67200000000001,6.95,6.95
382,5675,F,1,,,,,,,9.539413396749898,0.0,0.0,37.77057,-122.42497099999999,0.0,247.10000000000002,247.10000000000002,28.710000000000004,6.97,6.97
383,5676,F,0,,,,,,,7.329169859514688,0.0,0.0,37.779105,-122.414379,0.0,220.29999999999993,220.29999999999993,25.403999999999986,6.919999999999999,6.919999999999999
384,5678,F,0,,,,,,,7.336526181353766,0.0,0.0,37.78773,-122.40337,0.0,220.26999999999995,220.26999999999995,27.665999999999983,7.54,7.54
385,5680,F,0,,,,,,,7.327503192848021,0.0,0.0,37.777598,-122.41623599999998,0.0,218.36000000000004,218.36000000000004,25.229999999999986,6.93,6.93
386,5681,F,0,,,,,,,7.325031928480205,0.0,0.0,37.770953,-122.424666,0.0,321.58000000000004,321.58000000000004,39.14999999999998,7.3,7.3
387,5682,F,1,,,,,,,9.46150663892192,0.0,0.0,37.792984,-122.39662700000001,0.0,417.49000000000024,417.49000000000024,34.626,4.98,4.98
388,5685,F,1,,,,,,,9.481442726912405,0.0,0.0,37.788613,-122.40216300000002,0.0,171.76000000000002,171.76000000000002,18.443999999999996,6.44,6.44
389,5686,F,0,,,,,,,7.31911877394636,0.0,0.0,37.764489,-122.432812,0.0,292.15,292.15,28.536,5.86,5.86
390,5687,F,1,,,,,,,9.546827189853346,0.0,0.0,37.763958,-122.43332300000002,0.0,203.35000000000002,203.35000000000002,22.968000000000007,6.78,6.78
391,5690,F,0,,,,,,,7.322132822477651,0.0,0.0,37.766185,-122.430707,0.0,285.34000000000003,285.34000000000003,25.229999999999986,5.31,5.31
392,5691,F,1,,,,,,,9.54676971858898,0.0,0.0,37.765689,-122.43113999999998,0.0,224.24000000000012,224.24000000000012,29.405999999999977,7.87,7.87
393,5692,F,1,,,,,,,9.529528339278636,0.0,0.0,37.775056,-122.41932100000001,0.0,324.7599999999999,324.7599999999999,36.54,6.75,6.75
394,5694,F,0,,,,,,,7.336526181353766,0.0,0.0,37.785777,-122.405859,0.0,257.66,257.66,33.408000000000015,7.78,7.78
395,5695,F,0,,,,,,,7.332675606641124,0.0,0.0,37.782316,-122.410228,0.0,270.6200000000002,270.6200000000002,30.101999999999993,6.669999999999999,6.669999999999999
396,5696,F,0,,,,,,,7.325031928480205,0.0,0.0,37.775198,-122.41925199999999,0.0,348.99000000000007,348.99000000000007,40.716,7.0,7.0
397,7264,F,1,,,,,,,9.47126436781609,0.0,0.0,37.79094,-122.399195,0.0,376.47999999999996,376.47999999999996,39.67200000000001,6.32,6.32
398,7281,F,1,,,,,,,7.795849673202613,0.0,0.0,37.805146,-122.403233,0.0,208.39999999999998,208.39999999999998,26.622000000000003,7.66,7.66
399,7283,F,0,,,,,,,7.70721658778454,0.0,0.0,37.794828,-122.39377,0.0,156.76999999999998,156.76999999999998,20.04300000000002,7.669999999999999,7.669999999999999
400,7859,J,0,,,,,,,11.25,0.0,0.0,37.769463,-122.429122,0.0,315.0,315.0,70.035,13.339999999999998,13.339999999999998
401,5240,KT,0,,,,,,,39.94782352941178,0.0,0.0,37.776269,-122.39408199999998,0.0,22.760000000000005,22.760000000000005,5.593000000000001,14.74,14.74
402,7058,KT,0,,,,,,,10.51904761904762,0.0,0.0,37.740893,-122.465846,0.0,129.0,129.0,0.46000000000000035,0.21,0.21
403,7058,KT,1,,,,,,,16.283790989069583,1.0,0.0,37.740893,-122.465846,0.0,207.26999999999998,207.26999999999998,32.75999999999999,9.48,9.48
404,7440,KT,0,,,,,,,62.38030095759233,0.0,1.0,37.752871,-122.38688,0.0,33.0,33.0,2.959,5.38,5.38
405,7440,KT,1,,,,,,,47.767741935483876,0.0,1.0,37.752871,-122.38688,0.0,22.230000000000004,22.230000000000004,3.3819999999999992,9.13,9.13
406,7058,L,0,,,,,,,10.23360655737705,0.0,1.0,37.740893,-122.465846,0.0,135.0,135.0,0.48000000000000037,0.21,0.21
407,7058,L,1,,,,,,,17.303005464480872,0.0,0.0,37.740893,-122.465846,0.0,156.62,156.62,20.252,7.760000000000001,7.760000000000001
408,7869,L,0,,,,,,,10.25819672131148,1.0,0.0,37.736991,-122.50541300000002,0.0,124.3,124.3,11.712000000000003,5.650000000000001,5.650000000000001
409,3387,M,0,,,,,,,11.467924528301888,0.0,0.0,37.714443,-122.46999799999999,0.0,93.35000000000001,93.35000000000001,16.112,10.36,10.36
410,7058,M,0,,,,,,,11.467924528301888,0.0,0.0,37.740893,-122.465846,0.0,119.0,119.0,0.4240000000000003,0.21,0.21
411,7058,M,1,,,,,,,11.448113207547172,1.0,0.0,37.740893,-122.465846,0.0,9.250000000000004,9.250000000000004,28.938,187.71,187.71
412,7219,N,0,,,,,,,8.948616600790512,1.0,0.0,37.760349,-122.508685,0.0,187.52000000000007,187.52000000000007,21.665999999999997,6.93,6.93
413,7440,N,1,,,,,,,59.50588235294119,1.0,0.0,37.752871,-122.38688,0.0,153.0,153.0,28.254,11.08,11.08
