,ROUTE,STOP NAME,DIRECTION,STOP ID,STOP SEQ,Number of Trips in Time Period,Stop Latitude,Stop Longitude
134,L-Taraval ,15th Ave & Taraval St,OUTBOUND,3266,13,9,37.743122,-122.4713
133,L-Taraval ,15th Ave & Taraval St,INBOUND,3267,18,6,37.74307,-122.471405
135,L-Taraval ,15th Ave & Ulloa St,INBOUND,3269,19,6,37.741486,-122.4713
136,L-Taraval ,15th Ave & Ulloa St,OUTBOUND,3268,12,9,37.741524,-122.47118999999999
191,M-Ocean View ,19th Ave & Holloway Ave,INBOUND,7065,12,7,37.721245,-122.4751
192,M-Ocean View ,19th Ave & Holloway Ave,OUTBOUND,3358,18,4,37.721073,-122.47523500000001
193,M-Ocean View ,19th Ave & Junipero Serra Blvd,INBOUND,3361,11,7,37.71689,-122.472275
194,M-Ocean View ,19th Ave & Randolph St,INBOUND,3385,10,7,37.71428,-122.46961999999999
195,M-Ocean View ,19th Ave & Randolph St,OUTBOUND,3376,19,4,37.7162,-122.47166999999999
196,M-Ocean View ,19th Ave & Winston Dr,INBOUND,7449,13,7,37.727196,-122.474846
197,M-Ocean View ,19th Ave & Winston Dr,OUTBOUND,3403,17,4,37.727016,-122.47493999999999
0,J-Church ,30th St & Dolores St,INBOUND,3537,7,9,37.742306,-122.42403
1,J-Church ,30th St & Dolores St,OUTBOUND,3538,20,7,37.74217,-122.42445
137,L-Taraval ,46th Ave & Taraval St,INBOUND,3599,4,6,37.741684,-122.50453999999999
138,L-Taraval ,46th Ave & Ulloa St,INBOUND,3601,3,6,37.739826,-122.50441000000001
139,L-Taraval ,46th Ave & Ulloa St,OUTBOUND,3600,28,9,37.74,-122.50458
140,L-Taraval ,46th Ave & Vicente St,INBOUND,3603,2,6,37.737972,-122.50426999999999
141,L-Taraval ,46th Ave & Vicente St,OUTBOUND,3602,29,9,37.738144,-122.50443999999999
50,KT-Ingleside/Third Street ,4th St & King St,OUTBOUND,7166,21,26,37.77628,-122.39386999999999
49,KT-Ingleside/Third Street ,4th St & King St,INBOUND,7397,28,15,37.776253000000004,-122.394035
242,N-Judah ,9th Ave & Irving St,INBOUND,3212,16,7,37.763912,-122.46623999999998
51,KT-Ingleside/Third Street ,Balboa Park BART/Mezzanine Level,OUTBOUND,5418,48,31,37.72181,-122.44742600000001
52,KT-Ingleside/Third Street ,Bay Shore Blvd & Sunnydale Ave,INBOUND,7396,48,15,37.70897,-122.40511000000001
53,KT-Ingleside/Third Street ,Bay Shore Blvd & Sunnydale Ave,OUTBOUND,7398,1,26,37.708942,-122.40503999999999
54,KT-Ingleside/Third Street ,Bay Shore Blvd/Arleta/Blanken,INBOUND,7395,47,15,37.712253999999994,-122.40231999999999
55,KT-Ingleside/Third Street ,Bay Shore Blvd/Arleta/Blanken,OUTBOUND,7399,2,26,37.712223,-122.402336
198,M-Ocean View ,Broad St & Capitol Ave,INBOUND,3715,6,7,37.713192,-122.45891999999999
199,M-Ocean View ,Broad St & Capitol Ave,OUTBOUND,3716,24,4,37.713153999999996,-122.45916000000001
200,M-Ocean View ,Broad St & Orizaba Ave,INBOUND,3717,7,7,37.713177,-122.462326
202,M-Ocean View ,Broad St & Plymouth Ave,OUTBOUND,3719,25,4,37.713159999999995,-122.45618
201,M-Ocean View ,Broad St & Plymouth Ave,INBOUND,3718,5,7,37.713223,-122.455925
244,N-Judah ,Carl St & Cole St,OUTBOUND,3909,17,12,37.765865000000005,-122.44981000000001
243,N-Judah ,Carl St & Cole St,INBOUND,3911,22,7,37.765743,-122.45013
246,N-Judah ,Carl St & Hillway Ave,OUTBOUND,3912,19,12,37.765003,-122.45656000000001
245,N-Judah ,Carl St & Hillway Ave,INBOUND,3913,20,7,37.76493,-122.45651000000001
248,N-Judah ,Carl St & Stanyan St,OUTBOUND,3914,18,12,37.765495,-122.45258999999999
247,N-Judah ,Carl St & Stanyan St,INBOUND,3915,21,7,37.765373,-122.45293000000001
2,J-Church ,Church St & 14th St,OUTBOUND,7316,8,7,37.767784000000006,-122.42898999999998
3,J-Church ,Church St & 16th St,INBOUND,3985,18,9,37.764385,-122.42861
4,J-Church ,Church St & 16th St,OUTBOUND,3984,9,7,37.76462,-122.42872
5,J-Church ,Church St & 18th St,OUTBOUND,3987,10,7,37.761466999999996,-122.42841000000001
6,J-Church ,Church St & 22nd St,INBOUND,3994,13,9,37.754784,-122.42766
8,J-Church ,Church St & 24th St,OUTBOUND,3995,15,7,37.7518,-122.4275
7,J-Church ,Church St & 24th St,INBOUND,3996,12,9,37.75159,-122.42735
10,J-Church ,Church St & 27th St,OUTBOUND,3997,17,7,37.746983,-122.42707
9,J-Church ,Church St & 27th St,INBOUND,3998,10,9,37.74678,-122.426895
11,J-Church ,Church St & 29th St,INBOUND,3999,9,9,37.743587,-122.42658
12,J-Church ,Church St & 30th St,INBOUND,4000,8,9,37.742226,-122.42645
13,J-Church ,Church St & 30th St,OUTBOUND,4001,19,7,37.742096000000004,-122.42653
14,J-Church ,Church St & Clipper St,INBOUND,4003,11,9,37.749184,-122.42712
15,J-Church ,Church St & Clipper St,OUTBOUND,4002,16,7,37.749390000000005,-122.42728400000001
16,J-Church ,Church St & Day St,OUTBOUND,4004,18,7,37.742813,-122.42666000000001
17,J-Church ,Church St & Duboce Ave,INBOUND,4006,20,9,37.769302,-122.42908500000001
18,J-Church ,Church St & Market St,INBOUND,7073,19,9,37.767509999999994,-122.428925
249,N-Judah ,Duboce Ave & Church St,INBOUND,4448,24,7,37.76941,-122.4294
250,N-Judah ,Duboce Ave & Church St,OUTBOUND,4447,15,12,37.76947,-122.429405
251,N-Judah ,Duboce St/Noe St/Duboce Park,OUTBOUND,7252,16,12,37.76939,-122.43368999999998
142,L-Taraval ,Forest Hill Station Outbound,OUTBOUND,6993,8,9,37.74817,-122.45918999999999
203,M-Ocean View ,Forest Hill Station Outbound,OUTBOUND,6993,9,4,37.74817,-122.45918999999999
56,KT-Ingleside/Third Street ,Forest Hill Station Outbound,OUTBOUND,6993,34,26,37.74817,-122.45918999999999
252,N-Judah ,Irving St & 2nd Ave,OUTBOUND,5118,20,12,37.76444,-122.45863999999999
253,N-Judah ,Irving St & 4th Ave,INBOUND,5120,18,7,37.764225,-122.46106999999999
254,N-Judah ,Irving St & 4th Ave,OUTBOUND,5119,21,12,37.7643,-122.46082
255,N-Judah ,Irving St & 7th Ave,INBOUND,5122,17,7,37.76409,-122.46428
256,N-Judah ,Irving St & 7th Ave,OUTBOUND,5121,22,12,37.764156,-122.46403500000001
257,N-Judah ,Irving St & 9th Ave,OUTBOUND,5123,23,12,37.764103000000006,-122.46616999999999
258,N-Judah ,Irving St & Arguello Blvd,INBOUND,5124,19,7,37.764365999999995,-122.45801999999999
259,N-Judah ,Judah St & 12th Ave,INBOUND,5196,14,7,37.761990000000004,-122.46953
260,N-Judah ,Judah St & 12th Ave,OUTBOUND,5195,25,12,37.76207,-122.46933
261,N-Judah ,Judah St & 15th Ave,INBOUND,5197,12,7,37.76185,-122.47278
262,N-Judah ,Judah St & 16th Ave,OUTBOUND,5198,27,12,37.761913,-122.473785
263,N-Judah ,Judah St & 19th Ave,INBOUND,5200,11,7,37.761658000000004,-122.47719599999999
264,N-Judah ,Judah St & 19th Ave,OUTBOUND,5199,28,12,37.761745,-122.47691999999999
265,N-Judah ,Judah St & 22nd Ave,INBOUND,5201,10,7,37.761536,-122.47986000000002
266,N-Judah ,Judah St & 23rd Ave,OUTBOUND,5202,29,12,37.761547,-122.48116999999999
268,N-Judah ,Judah St & 25th Ave,OUTBOUND,5203,30,12,37.76145,-122.4833
267,N-Judah ,Judah St & 25th Ave,INBOUND,5204,9,7,37.76137,-122.48356000000001
270,N-Judah ,Judah St & 28th Ave,OUTBOUND,5205,31,12,37.761309999999995,-122.48651000000001
269,N-Judah ,Judah St & 28th Ave,INBOUND,5206,8,7,37.76123,-122.48676
271,N-Judah ,Judah St & 31st Ave,INBOUND,5208,7,7,37.761105,-122.4895
272,N-Judah ,Judah St & 31st Ave,OUTBOUND,5207,32,12,37.761173,-122.48971999999999
273,N-Judah ,Judah St & 34th Ave,INBOUND,5210,6,7,37.760956,-122.4932
274,N-Judah ,Judah St & 34th Ave,OUTBOUND,5209,33,12,37.76103,-122.49293
276,N-Judah ,Judah St & 40th Ave,OUTBOUND,5211,35,12,37.760742,-122.49936000000001
275,N-Judah ,Judah St & 40th Ave,INBOUND,5212,4,7,37.76068,-122.49915
278,N-Judah ,Judah St & 43rd Ave,OUTBOUND,5213,36,12,37.7606,-122.50258000000001
277,N-Judah ,Judah St & 43rd Ave,INBOUND,5214,3,7,37.76052,-122.50283999999999
280,N-Judah ,Judah St & 46th Ave,OUTBOUND,5215,37,12,37.760490000000004,-122.50583
279,N-Judah ,Judah St & 46th Ave,INBOUND,5216,2,7,37.76039,-122.50606499999999
282,N-Judah ,Judah St & 9th Ave,OUTBOUND,5193,24,12,37.762226,-122.46668999999999
281,N-Judah ,Judah St & 9th Ave,INBOUND,5194,15,7,37.76214,-122.46631000000001
284,N-Judah ,Judah St & Funston Ave,OUTBOUND,5219,26,12,37.762077000000005,-122.47033
283,N-Judah ,Judah St & Funston Ave,INBOUND,5220,13,7,37.76195,-122.47057
286,N-Judah ,Judah St & Sunset Blvd,OUTBOUND,5224,34,12,37.760918,-122.49566999999999
285,N-Judah ,Judah St & Sunset Blvd,INBOUND,5225,5,7,37.760845,-122.49581
287,N-Judah ,Judah/La Playa/Ocean Beach,INBOUND,5223,1,7,37.760303,-122.50818999999998
288,N-Judah ,Judah/La Playa/Ocean Beach,OUTBOUND,5221,38,12,37.760365,-122.50901
58,KT-Ingleside/Third Street ,Junipero Serra Blvd & Ocean Ave,OUTBOUND,7114,39,31,37.731274,-122.47182
57,KT-Ingleside/Third Street ,Junipero Serra Blvd & Ocean Ave,INBOUND,7113,10,15,37.731629999999996,-122.4717
59,KT-Ingleside/Third Street ,King St & 2nd St,INBOUND,5234,27,15,37.779720000000005,-122.38987
289,N-Judah ,King St & 2nd St,INBOUND,5234,36,4,37.779720000000005,-122.38987
290,N-Judah ,King St & 2nd St,OUTBOUND,5237,3,12,37.77962,-122.389824
60,KT-Ingleside/Third Street ,King St & 2nd St,OUTBOUND,5237,22,26,37.77962,-122.389824
291,N-Judah ,King St & 4th St,INBOUND,5239,37,4,37.776268,-122.39416999999999
292,N-Judah ,King St & 4th St,OUTBOUND,5240,2,12,37.776268,-122.39408
143,L-Taraval ,Metro Castro Station/Downtown,INBOUND,5728,24,5,37.76262,-122.43523400000001
204,M-Ocean View ,Metro Castro Station/Downtown,INBOUND,5728,22,7,37.76262,-122.43523400000001
61,KT-Ingleside/Third Street ,Metro Castro Station/Downtown,INBOUND,5728,16,15,37.76262,-122.43523400000001
144,L-Taraval ,Metro Castro Station/Outbound,OUTBOUND,6991,7,9,37.762684,-122.43529
205,M-Ocean View ,Metro Castro Station/Outbound,OUTBOUND,6991,8,4,37.762684,-122.43529
62,KT-Ingleside/Third Street ,Metro Castro Station/Outbound,OUTBOUND,6991,33,26,37.762684,-122.43529
206,M-Ocean View ,Metro Church Station/Downtown,INBOUND,5726,23,7,37.767193,-122.42917
145,L-Taraval ,Metro Church Station/Downtown,INBOUND,5726,25,5,37.767193,-122.42917
63,KT-Ingleside/Third Street ,Metro Church Station/Downtown,INBOUND,5726,17,15,37.767193,-122.42917
146,L-Taraval ,Metro Church Station/Outbound,OUTBOUND,6998,6,9,37.767326000000004,-122.42931999999999
207,M-Ocean View ,Metro Church Station/Outbound,OUTBOUND,6998,7,4,37.767326000000004,-122.42931999999999
64,KT-Ingleside/Third Street ,Metro Church Station/Outbound,OUTBOUND,6998,32,26,37.767326000000004,-122.42931999999999
19,J-Church ,Metro Civic Center Station/Downtn,INBOUND,5727,24,9,37.778545,-122.41481999999999
147,L-Taraval ,Metro Civic Center Station/Downtn,INBOUND,5727,27,5,37.778545,-122.41481999999999
65,KT-Ingleside/Third Street ,Metro Civic Center Station/Downtn,INBOUND,5727,19,15,37.778545,-122.41481999999999
293,N-Judah ,Metro Civic Center Station/Downtn,INBOUND,5727,28,4,37.778545,-122.41481999999999
208,M-Ocean View ,Metro Civic Center Station/Downtn,INBOUND,5727,25,7,37.778545,-122.41481999999999
294,N-Judah ,Metro Civic Center Station/Outbd,OUTBOUND,6997,12,12,37.778675,-122.41498999999999
66,KT-Ingleside/Third Street ,Metro Civic Center Station/Outbd,OUTBOUND,6997,30,26,37.778675,-122.41498999999999
209,M-Ocean View ,Metro Civic Center Station/Outbd,OUTBOUND,6997,5,4,37.778675,-122.41498999999999
20,J-Church ,Metro Civic Center Station/Outbd,OUTBOUND,6997,5,7,37.778675,-122.41498999999999
148,L-Taraval ,Metro Civic Center Station/Outbd,OUTBOUND,6997,4,9,37.778675,-122.41498999999999
21,J-Church ,Metro Embarcadero Station,INBOUND,6992,27,9,37.793137,-122.39643000000001
22,J-Church ,Metro Embarcadero Station,OUTBOUND,7217,2,7,37.79315,-122.39643000000001
296,N-Judah ,Metro Embarcadero Station,OUTBOUND,7217,9,12,37.79315,-122.39643000000001
295,N-Judah ,Metro Embarcadero Station,INBOUND,6992,31,4,37.793137,-122.39643000000001
210,M-Ocean View ,Metro Embarcadero Station,INBOUND,6992,28,7,37.793137,-122.39643000000001
150,L-Taraval ,Metro Embarcadero Station,OUTBOUND,7217,1,9,37.79315,-122.39643000000001
211,M-Ocean View ,Metro Embarcadero Station,OUTBOUND,7217,2,4,37.79315,-122.39643000000001
68,KT-Ingleside/Third Street ,Metro Embarcadero Station,OUTBOUND,7217,27,26,37.79315,-122.39643000000001
67,KT-Ingleside/Third Street ,Metro Embarcadero Station,INBOUND,6992,22,15,37.793137,-122.39643000000001
149,L-Taraval ,Metro Embarcadero Station,INBOUND,6992,30,5,37.793137,-122.39643000000001
212,M-Ocean View ,Metro Forest Hill Station/Downtown,INBOUND,5730,21,7,37.748352000000004,-122.458626
151,L-Taraval ,Metro Forest Hill Station/Downtown,INBOUND,5730,23,5,37.748352000000004,-122.458626
69,KT-Ingleside/Third Street ,Metro Forest Hill Station/Downtown,INBOUND,5730,15,15,37.748352000000004,-122.458626
297,N-Judah ,Metro Montgomery Station/Downtown,INBOUND,5731,30,4,37.788703999999996,-122.40193000000001
23,J-Church ,Metro Montgomery Station/Downtown,INBOUND,5731,26,9,37.788703999999996,-122.40193000000001
152,L-Taraval ,Metro Montgomery Station/Downtown,INBOUND,5731,29,5,37.788703999999996,-122.40193000000001
70,KT-Ingleside/Third Street ,Metro Montgomery Station/Downtown,INBOUND,5731,21,15,37.788703999999996,-122.40193000000001
213,M-Ocean View ,Metro Montgomery Station/Downtown,INBOUND,5731,27,7,37.788703999999996,-122.40193000000001
214,M-Ocean View ,Metro Montgomery Station/Outbound,OUTBOUND,6994,3,4,37.788790000000006,-122.40213
298,N-Judah ,Metro Montgomery Station/Outbound,OUTBOUND,6994,10,12,37.788790000000006,-122.40213
153,L-Taraval ,Metro Montgomery Station/Outbound,OUTBOUND,6994,2,9,37.788790000000006,-122.40213
71,KT-Ingleside/Third Street ,Metro Montgomery Station/Outbound,OUTBOUND,6994,28,26,37.788790000000006,-122.40213
24,J-Church ,Metro Montgomery Station/Outbound,OUTBOUND,6994,3,7,37.788790000000006,-122.40213
215,M-Ocean View ,Metro Powell Station/Downtown,INBOUND,5417,26,7,37.7842,-122.4077
72,KT-Ingleside/Third Street ,Metro Powell Station/Downtown,INBOUND,5417,20,15,37.7842,-122.4077
25,J-Church ,Metro Powell Station/Downtown,INBOUND,5417,25,9,37.7842,-122.4077
154,L-Taraval ,Metro Powell Station/Downtown,INBOUND,5417,28,5,37.7842,-122.4077
299,N-Judah ,Metro Powell Station/Downtown,INBOUND,5417,29,4,37.7842,-122.4077
26,J-Church ,Metro Powell Station/Outbound,OUTBOUND,6995,4,7,37.7843,-122.40782
73,KT-Ingleside/Third Street ,Metro Powell Station/Outbound,OUTBOUND,6995,29,26,37.7843,-122.40782
